codigo;anio;mes;dia;tmax;tmin;ts07;ts13;ts19;th07;th13;th19;rr07;rr13;rr19;ev07;ev071;ev13;ev131;ev19;ev191;nu07;nu13;nu19;dv07;vv07;dv13;vv13;dv19;vv19;an07;an13;an19;tipev;tipcal;fuente;tipane
M0003;2014.0;1.0;1.0;20.7;3.4;5.8;18.6;9.3;5.7;11.0;8.7;0.0;0.0;0.0;59.9;0.0;58.6;0.0;57.9;0.0;3.0;3.0;0.0;C;0.0;N;2.0;C;0.0;978478.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;2.0;20.0;1.5;8.1;18.0;11.4;6.0;12.0;10.6;0.0;0.0;0.0;55.5;0.0;54.2;0.0;52.7;0.0;1.0;6.0;7.0;S;0.5;E;1.0;C;0.0;979172.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;3.0;20.1;3.8;8.4;16.8;14.0;7.5;12.0;11.2;0.0;0.0;0.0;51.6;0.0;50.9;0.0;49.0;0.0;2.0;4.0;4.0;C;0.0;N;1.0;C;0.0;979862.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;4.0;19.9;6.3;8.5;17.3;13.8;8.4;12.3;10.4;0.0;0.0;0.0;48.4;0.0;47.7;0.0;44.6;0.0;8.0;7.0;5.0;C;0.0;N;1.5;C;0.0;980480.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;5.0;16.2;8.0;9.3;15.0;12.4;9.2;12.6;12.0;0.0;0.6;5.6;43.7;0.0;44.0;0.0;49.0;0.0;8.0;8.0;6.0;C;0.0;C;0.0;C;0.0;981252.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;6.0;17.2;5.2;7.6;12.7;10.1;7.3;11.5;10.0;0.0;1.4;28.1;48.9;0.0;50.1;0.0;76.2;0.0;4.0;7.0;8.0;C;0.0;C;0.0;C;0.0;981356.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;7.0;15.6;7.4;8.8;13.0;9.2;8.8;11.8;9.1;7.2;4.1;13.2;82.0;50.0;53.0;0.0;65.0;0.0;8.0;8.0;8.0;C;0.0;C;0.0;C;0.0;981526.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;8.0;15.7;7.0;8.9;12.5;10.4;8.6;11.2;10.0;14.7;0.0;7.1;78.8;0.0;78.2;50.0;56.8;0.0;8.0;8.0;8.0;C;0.0;C;0.0;C;0.0;981638.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;9.0;16.8;8.8;8.9;12.6;10.5;8.8;10.4;10.4;4.6;0.9;0.0;61.0;0.0;61.5;0.0;60.8;0.0;8.0;7.0;8.0;C;0.0;C;0.0;C;0.0;981671.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;10.0;17.0;8.0;9.5;14.1;10.2;9.3;11.9;9.6;2.8;0.6;3.1;63.2;0.0;63.6;0.0;66.1;0.0;8.0;8.0;8.0;C;0.0;C;0.0;C;0.0;981830.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;11.0;17.8;7.2;9.2;16.4;11.4;9.0;13.0;10.6;0.0;0.0;0.1;64.9;0.0;64.0;0.0;63.2;0.0;8.0;6.0;7.0;C;0.0;C;0.0;C;0.0;982012.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;12.0;;8.2;10.6;18.8;10.8;10.2;12.4;10.2;0.3;0.0;3.9;62.0;0.0;61.8;0.0;64.2;0.0;2.0;5.0;8.0;C;0.0;E;1.0;C;0.0;982136.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;13.0;20.4;4.0;9.0;19.0;11.8;7.4;13.8;11.0;0.6;0.0;0.0;62.0;70.0;67.5;0.0;66.1;0.0;0.0;3.0;3.0;C;0.0;C;0.0;C;0.0;982600.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;14.0;17.2;5.0;9.1;15.7;12.0;8.3;12.5;11.1;0.0;0.0;1.2;64.2;0.0;63.5;0.0;64.3;0.0;6.0;7.0;4.0;C;0.0;E;1.0;C;0.0;982983.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;15.0;20.3;3.9;7.8;18.7;12.2;6.4;12.8;11.8;0.0;0.0;0.2;63.3;0.0;62.3;0.0;61.3;0.0;0.0;4.0;8.0;C;0.0;C;0.0;C;0.0;983121.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;16.0;20.8;4.3;8.3;18.4;12.0;7.4;12.4;11.8;3.2;0.0;2.3;62.8;0.0;61.8;0.0;63.7;0.0;3.0;3.0;8.0;C;0.0;C;0.0;C;0.0;983556.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;17.0;21.3;6.6;10.0;18.6;13.2;9.6;12.0;12.5;0.3;0.0;0.0;61.5;0.0;60.6;0.0;59.0;0.0;4.0;4.0;7.0;C;0.0;N;1.0;C;0.0;983908.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;18.0;20.2;7.0;9.2;15.4;12.7;8.4;13.0;10.5;0.0;0.0;0.0;57.7;0.0;56.1;0.0;54.4;0.0;6.0;8.0;3.0;C;0.0;N;0.5;C;0.0;984484.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;19.0;20.2;4.6;8.4;17.4;12.4;7.6;13.6;11.6;0.0;0.0;0.0;53.2;0.0;52.6;0.0;51.2;0.0;8.0;5.0;7.0;C;0.0;C;0.0;C;0.0;985093.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;20.0;20.4;4.0;8.0;18.4;11.6;6.8;12.7;10.6;0.0;0.0;2.9;49.5;70.0;68.9;0.0;70.0;0.0;0.0;5.0;6.0;C;0.0;C;0.0;C;0.0;985733.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;21.0;19.6;4.0;7.2;18.0;12.4;7.0;13.8;11.6;0.0;0.0;0.0;68.2;0.0;67.3;0.0;65.8;0.0;6.0;3.0;8.0;C;0.0;N;3.0;C;0.0;986047.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;22.0;18.2;8.4;10.0;15.9;10.3;9.9;13.3;9.9;3.7;0.0;25.6;68.1;0.0;67.8;0.0;90.0;0.0;8.0;7.0;6.0;C;0.0;C;0.0;C;0.0;986483.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;23.0;20.1;6.0;10.4;18.2;11.8;9.4;12.0;11.0;0.0;0.0;0.0;87.6;50.0;48.6;0.0;46.7;0.0;6.0;4.0;4.0;C;0.0;E;0.5;C;0.0;986637.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;24.0;19.0;2.4;7.0;17.9;11.8;6.3;11.2;10.8;0.0;0.0;0.0;45.0;0.0;43.2;0.0;41.5;0.0;0.0;3.0;5.0;C;0.0;C;0.0;C;0.0;987053.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;25.0;18.4;4.2;6.8;17.2;9.8;6.2;12.0;9.6;0.0;0.0;6.0;40.2;0.0;39.5;0.0;44.5;0.0;6.0;8.0;8.0;C;0.0;N;2.5;C;0.0;987401.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
M0003;2014.0;1.0;26.0;17.6;5.3;6.7;16.8;10.6;6.4;12.6;10.2;8.1;0.0;0.0;49.0;0.0;48.0;0.0;47.3;0.0;6.0;7.0;6.0;C;0.0;E;1.0;C;0.0;987893.0;9999999999.0;9999999999.0;2.0;1.0;1;1.0
